NodeNumber,Total Deformation (m)
1338,3.49E-05
1339,8.27E-06
1340,1.07E-05
1341,5.54E-04
1342,1.28E-04
1343,8.30E-05
1344,4.53E-04
1345,2.07E-07
1346,1.81E-07
1347,9.76E-11
1348,5.02E-07
1349,5.50E-07
1350,5.70E-07
1351,7.89E-07
1352,8.55E-07
1353,7.32E-07
1354,8.43E-07
1355,9.62E-07
1356,4.03E-12
1357,1.95E-09
1358,2.06E-12
1359,7.82E-07
1360,2.74E-09
1361,8.98E-07
1362,5.77E-07
1363,3.91E-07
1364,4.00E-07
1365,8.86E-12
1366,8.06E-07
1367,7.72E-07
1368,1.57E-13
1369,5.50E-10
1370,3.66E-08
1371,3.49E-13
1372,3.13E-08
1373,1.81E-10
1374,4.63E-11
1375,3.00E-07
1376,8.50E-07
1377,9.21E-07
1378,9.92E-07
1379,9.11E-07
1380,8.85E-07
1381,1.00E-06
1382,2.18E-07
1383,4.51E-07
1384,1.14E-06
1385,1.21E-06
1386,1.06E-11
1387,7.78E-07
1388,1.20E-06
1389,3.55E-07
1390,5.68E-10
1391,4.90E-07
1392,9.88E-07
1393,8.94E-07
1394,9.44E-07
1395,1.13E-06
1396,1.11E-06
1397,5.33E-07
1398,1.00E-06
1399,1.20E-06
1400,8.80E-08
1401,1.19E-12
1402,1.12E-06
1403,1.23E-06
1404,1.12E-06
1405,1.13E-06
1406,2.99E-11
1407,3.01E-12
1408,3.31E-07
1409,1.04E-06
1410,1.08E-06
1411,1.19E-06
1412,1.28E-10
1413,3.35E-08
1414,1.00E-06
1415,6.27E-07
1416,1.01E-06
1417,4.61E-09
1418,1.05E-06
1419,8.04E-08
1420,1.15E-06
1421,6.59E-14
1422,6.16E-14
1423,8.31E-07
1424,4.49E-07
1425,8.55E-07
1426,9.00E-07
1427,8.94E-07
1428,7.11E-14
1429,5.01E-09
1430,8.04E-08
1431,3.78E-12
1432,1.23E-06
1433,1.01E-06
1434,1.04E-06
1435,1.80E-07
1436,1.36E-11
1437,1.27E-10
1438,9.90E-07
1439,5.70E-07
1440,2.36E-07
1441,4.57E-10
1442,1.26E-06
1443,1.16E-06
1444,1.10E-06
