NodeNumber,Equivalent Stress (Pa)
1260,1.12E+08
1261,2.52E+07
1262,6.52E+07
1263,4.54E+07
1264,2.88E+07
1265,1.31E+08
1266,1.27E+08
1267,1.09E+08
1268,1.20E+08
1269,1.49E+07
1270,9.15E+06
1271,5.10E+07
1272,2.13E+07
1273,1.10E+08
1274,1.25E+08
1275,3.56E+06
1276,2.75E+07
1277,1.47E+08
1278,1.57E+08
1279,1.59E+08
1280,6.97E+07
1281,5.04E+06
1282,4.43E+07
1283,1.20E+08
1284,2.05E+06
1285,1.34E+08
1286,1.54E+07
1287,9.79E+07
1288,1.15E+08
1289,1.18E+08
1290,1.18E+08
1291,1.21E+08
1292,1.56E+07
1293,1.20E+08
1294,8.52E+07
1295,1.59E+08
1296,1.42E+08
1297,4.71E+06
1298,1.43E+08
1299,1.52E+08
1300,7.86E+06
1301,9.62E+07
1302,5.00E+07
1303,1.23E+08
1304,1.25E+08
1305,1.29E+08
1306,4.59E+06
1307,3.59E+06
1308,4.48E+06
1309,1.28E+08
1310,4.56E+07
1311,1.68E+08
1312,1.38E+08
1313,1.63E+08
1314,1.49E+08
1315,4.47E+06
1316,5.32E+07
1317,1.19E+08
1318,1.62E+07
1319,1.38E+08
1320,1.49E+08
1321,1.18E+08
1322,1.35E+08
1323,1.06E+07
1324,1.51E+08
1325,9.65E+07
1326,1.38E+07
1327,1.24E+08
1328,1.58E+07
1329,6.38E+07
1330,8.31E+06
1331,6.74E+07
1332,1.07E+08
1333,1.33E+08
1334,2.56E+07
1335,1.29E+08
1336,3.93E+07
1337,3.06E+07
1338,1.35E+08
1339,1.16E+08
1340,1.36E+08
1341,6.55E+06
1342,6.76E+07
1343,1.07E+08
1344,1.36E+07
1345,1.15E+07
1346,9.93E+06
1347,5766
1348,3.69E+07
1349,4.19E+07
1350,4.72E+07
1351,6.40E+07
1352,6.97E+07
1353,6.42E+07
1354,6.01E+07
1355,6.79E+07
1356,238.25
1357,1.10E+05
1358,107.52
1359,6.42E+07
1360,1.96E+05
1361,7.82E+07
1362,4.49E+07
1363,2.63E+07
1364,2.67E+07
1365,561.77
1366,6.56E+07
1367,6.16E+07
1368,7.6514
1369,37781
1370,2.47E+06
1371,21.41
1372,1.79E+06
1373,12207
1374,2570.4
1375,1.99E+07
1376,6.69E+07
1377,7.22E+07
1378,8.10E+07
1379,7.68E+07
1380,7.17E+07
1381,8.40E+07
1382,1.43E+07
1383,2.78E+07
1384,1.11E+08
1385,1.12E+08
1386,550.28
1387,5.92E+07
1388,1.09E+08
1389,2.00E+07
1390,35054
1391,3.96E+07
1392,9.24E+07
1393,7.33E+07
1394,7.39E+07
1395,9.51E+07
1396,8.55E+07
1397,3.59E+07
1398,8.04E+07
1399,1.08E+08
1400,5.22E+06
1401,59.494
1402,9.50E+07
